강민경,러블리 호러블리,2018-08-13,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강병택,해신,2004-11-24,31.7,거상 김만덕,2010-03-06,17,적도의 남자,2012-03-21,15.2,정도전,2014-01-04,19.8,,,,,,,,,,,,,,,,,,,,,,,,
강수연,저글러스,2017-12-04,9.9,오늘의 탐정,2018-09-05,4.4,조선로코-녹두전,2019-09-30,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
강일수,태조 왕건,2000-04-01,60.4,해신,2004-11-24,31.7,바람의 나라,2008-09-10,20.2,전우치,2012-11-21,15.2,솔로몬의 위증,2016-12-16,1.7,신입사관 구해령,2019-07-17,7.3,,,,,,,,,,,,,,,,,,
곽정환,이 죽일놈의 사랑,2005-10-31,14.8,황금사과,2005-11-16,14.3,한성별곡,2007-07-09,7.6,2008 전설의 고향,2008-08-06,20.1,추노,2010-01-06,34,도망자 Plan.B,2010-09-29,20.7,빠스껫 볼,2013-10-21,0.6,동네의 영웅,2016-01-23,1.8,THE K2,2016-09-23,6.6,미스 함무라비,2018-05-21,5.3,보좌관1,2019-06-14,5.3,보좌관2,2019-11-11,5.3
권계홍,학교3,2000-03-05,,못된사랑,2007-12-03,10.3,강력반,2011-03-07,8.7,미래의 선택,2013-10-14,9.7,비켜라 운명아,2018-11-05,23.1,,,,,,,,,,,,,,,,,,,,,
기민수,굿바이 솔로,2006-03-01,16.2,그저 바라보다가,2009-04-29,14.4,오작교 형제들,2011-08-06,36.3,굿 닥터,2013-08-05,21.5,블러드,2015-02-16,6,,,,,,,,,,,,,,,,,,,,,
김규태,노란손수건,2003-02-03,36.9,이 죽일놈의 사랑,2005-10-31,14.8,그들이 사는 세상,2008-10-27,7.7,아이리스,2009-10-14,35.5,빠담빠담... 그와 그녀의 심장박동소리,2011-12-05,2.2,"그 겨울, 바람이 분다",2013-02-13,15.8,"괜찮아, 사랑이야",2014-07-23,12.9,달의 연인 – 보보경심 려,2016-08-29,11.3,라이브(Live),2018-03-10,7.7,,,,,,,,,
김동휘,고양이는 있다,2014-06-09,27.2,착하지 않은 여자들,2015-02-25,13.7,장사의 신 - 객주 2015,2015-09-23,13,"쌈, 마이웨이",2017-05-22,13.8,조선로코-녹두전,2019-09-30,8.3,,,,,,,,,,,,,,,,,,,,,
김민태,마녀의 법정,2017-10-09,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김상훈,태왕사신기,2007-09-11,31.9,바람의 나라,2008-09-10,20.2,무사 백동수,2011-07-04,18.5,라이어 게임,2014-10-20,1.3,보이스,2017-01-14,5.7,최고의 한방,2017-06-02,5.5,고백부부,2017-10-13,7.3,내 아이디는 강남미인,2018-07-27,5.8,,,,,,,,,,,,
김상휘,성장드라마 반올림#2,2005-03-06,6.7,성장드라마 반올림# 3,2006-03-05,7.8,최강! 울엄마,2007-03-11,7.3,너는 내 운명,2008-05-05,43.6,전우,2010-06-19,17.4,대왕의 꿈,2012-09-08,13.9,장비록,2015-02-14,13.8,인형의 집,2018-02-26,16.2,퍼퓸,2019-06-03,7.2,,,,,,,,,
김성윤,거상 김만덕,2010-03-06,17,드림하이,2011-01-03,17.9,빅,2012-06-04,11.1,연애의 발견,2014-08-18,7.7,후아유 - 학교 2015,2015-04-27,8.2,구르미 그린 달빛,2016-08-22,23.3,이태원 클라쓰,2020-01-31,16.5,,,,,,,,,,,,,,,
김영균,넌 네게 반했어,2008-04-21,12.1,다함께 차차차,2009-06-29,37.3,매리는 외박중,2010-11-08,9,스파이 명월,2011-07-11,9.6,,,,,,,,,,,,,,,,,,,,,,,,
